ID,commune,facility,coordinates,services,Capacity
20,El Achour ,Polyclinic El Achour Emergency H24,"36.735793423773686, 2.9925919653560706","""General Emergency, Pediatric Emergency, Dental Emergency""",34
21,Draria ,Hospital Center S Draria ,"36.7155672715264, 3.0008050930565857","""General Emergency,Gynecology Emergency,ORL, Pediatric Emergency,Dental Emergency, Burn Emergency,Gastrointestinal Emergency,Medical-Surgical Emergency""",74
22,Draria ,Clinique RAYA,"36.71720552382278, 2.9978757669142553","""Gynecology Emergency,Gastrointestinal Emergency,Medical-Surgical Emergency,Trauma center,Pediatric Emergency""",45
26,Baba Hassen ,Centre de sante de Baba hassen,"36.70027239412814, 2.970834232844522","""General Emergency,respiratory emergencies""",26
27,Baba Hassen ,Dispensaire Baba Hassen,"36.70013476058424, 2.9814772375483027","""General Emergency""",25
28,Baba Hassen ,Polyclinique BABA HASSEN,"36.69324313287262, 2.982346838655508","""General Emergency, Pediatric Emergency,Dental Emergency,Burn Emergency,Infectious Disease Emergency""",40
29,Baba Hassen ,CLINIQUE TALIA,"36.69282086747457, 2.966723355823066","""ORL""",47
30,Khraicia,Polyclinique de Khraisia,"36.69181951611881, 2.981820189609621","""General Emergency, Pediatric Emergency,Dental Emergency,Burn Emergency,Infectious Disease Emergency""",57
31,Khraicia,Dispensaire cite khraicia,"36.67132024609062, 2.9807962406857","""General Emergency""",35
32,Khraicia,Dispensaire sidi boukhriss,"36.670461980321456, 2.9766854906766236","""General Emergency""",25
33,Khraicia,Medical Clinic Anis Chiffa Khraicia Alger,"36.687437048678696, 2.9787640335896035","""General Emergency,respiratory emergencies""",53
34,Saoula,Polyclinique Ibrahim Khaider Saoula,"36.70350935088807, 3.028590536567301","""General Emergency,Pediatric Emergency,Dental Emergency,Burn Emergency,Infectious Disease Emergency""",33
35,Saoula,Dispensiare Saoula,"36.70615604009432, 3.0316357343761284","""General Emergency""",28
43,Bchdjerrah,Polyclinique drid hocine,"36.739850588675175, 3.0877816817350574","""Psyciatric Emergency""",28
54,Hussein dey,Centre Medicale La Residence Urgences Et Ophtalmologie,"36.741484378569005, 3.0888966441120043","""General Emergency""",40
55,Hussein dey,Polyclinique La Residence,"36.74089969260916, 3.0916968701068424","""Pediatric Emergency,Cardiac Emergency,General Emergency,Gynecology Emergency""",36
56,Hussein dey,Centre Medico Social ENNA,"36.74307977704993, 3.090958262095519","""General Emergency""",26
58,Hussein dey,Hepital psychiatrique drid houssin,"36.73920045817796, 3.0858260639884443","""Psyciatric Emergency""",130
60,kouba,EPH Bachir Mentouri kouba,"36.72624326483233, 3.0872752341276226","""ORL,Gynecology Emergency,General Emergency""",43
61,kouba,CLINIQUE CMC KOUBA,"36.73674392851243, 3.0904842378356556","""Cardiac Emergency,Diabetology Emergency,Ophtalmogy Emergency,ORL""",45
63,kouba,"Clinique Medico Chirurgicale Ophtalmologie, Diabetologie","36.73659132034513, 3.0911667401271106","""Ophtalmology Emergency,Diabetology Emergency""",31
64,kouba,EPH Bachir Mentouri kouba,"36.726621987581694, 3.089110679841124","""General Emergency,Pediatric Emergency,Cardiac Emergency""",68
65,kouba,Hepital de Kouba nouvelle Entree,"36.72592381065379, 3.0858761644642003"," ""ORL,Gynecology Emergency,Medical-Surgical Emergency""",75
66,kouba,Clinique EPSP B.O KOUBA,"36.73257494041537, 3.0843839779946083","""General Emergency""",77
67,kouba,Clinique Sait De Kouba,"36.72808728828006, 3.081014419749805","""General Emergency,Pediatric Emergency,Gynecology Emergency""",40
68,kouba,Polyclinique kouba,"36.73775267381433, 3.0891276066204547","""Diabetology Emergency,General Emergency""",75
69,kouba,Clinique EPSP B.O KOUBA,"36.73350786901446, 3.089561645518479","""General Emergency,Pediatric Emergency""",63
70,kouba,EPSP Kouba Les Annassers,"36.734368279743066, 3.066449234354295","""General Emergency,Pediatric Emergency""",39
